name,population,location,cityId,createdAt,updatedAt
Abu Gosh,5707,"(31.80592, 35.1093)",295772,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Acre,45603,"(32.92814, 35.07647)",295721,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Afula,44930,"(32.60907, 35.2892)",295740,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Arad,23700,"(31.25882, 35.21282)",295657,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Ariel,17668,"(32.1065, 35.18449)",8199394,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Ashdod,224656,"(31.79213, 34.64966)",295629,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Ashkelon,105995,"(31.66926, 34.57149)",295620,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Atlit,4500,"(32.68889, 34.94236)",295613,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Azor,16201,"(32.0243, 34.80632)",295584,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Basmat Tab'un,6300,"(32.73898, 35.15716)",295553,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Bat-Yam,128979,"(32.02379, 34.75185)",295548,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Beer Sheva,186600,"(31.25181, 34.7913)",295530,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Beit Horon,1115,"(31.87581, 35.12999)",8199387,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Beit Jann,10002,"(32.96464, 35.38152)",295523,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Beit Dagan,7099,"(32.00191, 34.82977)",295475,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Beit Shemesh,67100,"(31.73072, 34.99293)",295432,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Bet She'an,16800,"(32.49728, 35.49632)",295435,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Beit Yithak,1674,"(32.32751, 34.88878)",295424,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Bnei Ayish,7920,"(31.78333, 34.75)",295515,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Bnei Brak,154400,"(32.08074, 34.8338)",295514,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Buq'ata,5200,"(32.97747, 35.33345)",295379,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Bu'eine Nujeidat,7900,"(32.80636, 35.36486)",295380,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Bir al-Maksur,7106,"(32.77732, 35.22069)",295404,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Caesarea,4500,"(32.51888, 34.90459)",7117228,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Daburiyya,8305,"(32.69256, 35.37123)",295370,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Daliyat al-Karmel,25000,"(32.69383, 35.04686)",295365,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Deir Hanna,8417,"(32.86196, 35.36365)",295339,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Dimona,33558,"(31.07079, 35.03269)",295328,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Dolev,1195,"(31.92609, 35.13393)",8199393,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Eilat,45588,"(29.55805, 34.94821)",295277,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Fureidis,9999,"(32.59812, 34.95153)",295269,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Mazra'a,3900,"(32.98338, 35.09837)",295249,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Elyachin,2728,"(32.40793, 34.92433)",295232,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Reineh,15621,"(32.72339, 35.31622)",295174,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Sheikh Danun,2305,"(32.9941, 35.14805)",295157,2019-12-13T00:55:20.639Z,2019-12-13T00:55:20.639Z
Even Yehuda,15221,"(32.26959, 34.88759)",295122,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Tayibe,32978,"(32.26616, 35.00893)",295130,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Gan Yavne,22453,"(31.78737, 34.70659)",295080,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Ganei Tikva,16053,"(32.05971, 34.8732)",295089,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Gdera,26217,"(31.81456, 34.77998)",295064,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Givat Shmuel,18500,"(32.07817, 34.84858)",294981,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Giv'on HaHadasha,1097,"(31.84927, 35.16106)",8199390,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Givatayim,48000,"(32.07225, 34.81253)",294999,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Hadera,75854,"(32.44192, 34.9039)",294946,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Haifa,267300,"(32.81841, 34.9885)",294801,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Har Adar,3300,"(31.82754, 35.13093)",282582,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Hashmonaim,2610,"(31.92973, 35.0215)",8199382,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Herzliya,83600,"(32.16627, 34.82536)",294778,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Herzliya Pituah,10000,"(32.17409, 34.8028)",8478264,2019-12-13T00:55:22.334Z,2019-12-13T00:55:22.334Z
Hod HaSharon,43185,"(32.15934, 34.8932)",294760,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Holon,165787,"(32.01034, 34.77918)",294751,2019-12-13T00:55:19.524Z,2019-12-13T00:55:19.524Z
Ibtin,2020,"(32.7615, 35.11402)",294661,2019-12-13T00:55:19.524Z,2019-12-13T00:55:19.524Z
Iksal,11398,"(32.68164, 35.32365)",294658,2019-12-13T00:55:19.524Z,2019-12-13T00:55:19.524Z
Jaffa,100000,"(32.05043, 34.75224)",293253,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Jaljulia,7505,"(32.1547, 34.95372)",294634,2019-12-13T00:55:19.524Z,2019-12-13T00:55:19.524Z
Jerusalem,801000,"(31.76904, 35.21633)",281184,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Jadeidi-Makr,17530,"(32.9282, 35.15705)",294622,2019-12-13T00:55:19.524Z,2019-12-13T00:55:19.524Z
"Jish (Gush Halav)",2684,"(33.02216, 35.44694)",294627,2019-12-13T00:55:19.524Z,2019-12-13T00:55:19.524Z
Kfar Yassif,8308,"(32.95451, 35.1623)",294600,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Kfar Kama,2990,"(32.72129, 35.44122)",294611,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Kfar Kana,17606,"(32.7466, 35.34242)",294610,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Kfar Manda,15014,"(32.81034, 35.26009)",294608,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Kafr Misr,2400,"(32.64521, 35.42147)",294607,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Kfar Kassem,17303,"(32.11406, 34.97624)",294604,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Karmiel,44382,"(32.91708, 35.30501)",294577,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Kaukab Abu al-Hija,2800,"(32.83155, 35.24848)",294571,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Kfar Chabad,4771,"(31.98793, 34.8516)",294545,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Rosh HaNikra,1143,"(33.08607, 35.11348)",294517,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Kfar Shmaryahu,1774,"(32.18529, 34.82082)",294508,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Kfar Tavor,2323,"(32.68655, 35.42118)",294502,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Kfar Vradim,5608,"(32.99385, 35.27793)",386445,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Kfar Yona,21611,"(32.31669, 34.93507)",294492,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Kfar HaOranim,2509,"(31.91982, 35.03669)",8199384,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Kfar Saba,80773,"(32.175, 34.90694)",294514,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Kiryat Ono,37791,"(32.05503, 34.85789)",11049562,2019-12-13T00:55:22.334Z,2019-12-13T00:55:22.334Z
Kabul,9497,"(32.86856, 35.21171)",294615,2019-12-13T00:55:18.648Z,2019-12-13T00:55:18.648Z
Lapid,2497,"(31.91764, 35.03222)",8199383,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Lehavim,6000,"(31.37284, 34.81619)",6693244,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Lod,66589,"(31.9467, 34.8903)",294421,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Maghar,18915,"(32.88984, 35.40703)",294387,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Mazkeret Batya,8034,"(31.85357, 34.84646)",294303,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Metulla,1466,"(33.27918, 35.5795)",294247,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Mevasseret Zion,24409,"(31.80186, 35.15072)",294245,2019-12-13T00:55:18.647Z,2019-12-13T00:55:18.647Z
Mevo Horon,1771,"(31.84876, 35.03583)",8199385,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Ben Gurion College,1100,"(30.85154, 34.7834)",6929924,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Migdal HaEmek,24800,"(32.67597, 35.23986)",294210,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Mitzpeh Ramon,4769,"(30.60944, 34.80111)",294166,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Mi'ilya,2700,"(33.02781, 35.25658)",294205,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Modi'in Illit,64179,"(31.93221, 35.04416)",8199378,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Modi'in Maccabim Re'ut,88749,"(31.89385, 35.01504)",282926,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Na'aleh,1035,"(31.96236, 35.06553)",8199389,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Nahariya,51200,"(33.00892, 35.09814)",294117,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Nazareth,64800,"(32.69925, 35.30483)",294098,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Nachaf,10105,"(32.93444, 35.31679)",294114,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Nin,1588,"(32.63063, 35.34885)",294089,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Nesher,21245,"(32.76622, 35.04425)",294078,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Ness Ziona,38700,"(31.92933, 34.79868)",294074,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Netanya,171676,"(32.33291, 34.85992)",294071,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Netivot,24564,"(31.42305, 34.58911)",294068,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Nechalim,2061,"(32.06012, 34.91069)",294093,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Nirit,1132,"(32.14677, 34.98622)",8199421,2019-12-13T00:55:22.334Z,2019-12-13T00:55:22.334Z
Nof Ayalon,5000,"(31.87111, 34.99081)",8199379,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Nordia,2264,"(32.3147, 34.89617)",294003,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Ofakim,24311,"(31.3141, 34.62025)",293992,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Or Yehuda,30802,"(32.02923, 34.85788)",293962,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Pardessiya,6254,"(32.30577, 34.90911)",293942,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Fassuta,2985,"(33.04895, 35.30893)",295104,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Petach Tikva,200000,"(32.08707, 34.88747)",293918,2019-12-13T00:55:17.874Z,2019-12-13T00:55:17.874Z
Qalansawe,16898,"(32.28493, 34.98106)",293896,2019-12-13T00:55:17.873Z,2019-12-13T00:55:17.873Z
Kiryat Atta,48966,"(32.81149, 35.11323)",293845,2019-12-13T00:55:17.873Z,2019-12-13T00:55:17.873Z
Kiryat Biyalik,36551,"(32.8275, 35.08583)",293844,2019-12-13T00:55:17.873Z,2019-12-13T00:55:17.873Z
Kiryat Gat,47450,"(31.60998, 34.76422)",293842,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Kiryat Motzkin,39404,"(32.83706, 35.0776)",293831,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Kiryat Shmona,22035,"(33.20733, 35.57212)",293825,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Kiryat Yam,39273,"(32.84966, 35.06973)",293822,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Ra'anana,80000,"(32.1836, 34.87386)",293807,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Rahat,19586,"(31.39547, 34.75699)",8184212,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Ramat Gan,128095,"(32.08227, 34.81065)",293788,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Ramat HaSharon,36137,"(32.14613, 34.8394)",293783,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Ramat Ishai,5431,"(32.70444, 35.1707)",293773,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Ramla,63860,"(31.92923, 34.86563)",293768,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Rechasim,10682,"(32.74907, 35.09901)",293721,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Revava,1262,"(32.11926, 35.12896)",8199422,2019-12-13T00:55:22.334Z,2019-12-13T00:55:22.334Z
Rehovot,132671,"(31.89421, 34.81199)",293725,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Rishon LeZion,220492,"(31.97102, 34.78939)",293703,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Rosh HaAyin,39215,"(32.09556, 34.95664)",293690,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Rosh Pinna,2492,"(32.96894, 35.54258)",293688,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Rumat al-Heib,1588,"(32.77802, 35.30571)",386194,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Safed,27816,"(32.96465, 35.496)",293100,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Sakhnin,24596,"(32.86422, 35.29707)",293655,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Salama,1800,"(32.89443, 35.36931)",386253,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Savyon,3434,"(32.04966, 34.8777)",293633,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Sderot,20228,"(31.525, 34.59693)",293619,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Shlomi,5608,"(33.07216, 35.14452)",293522,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Shibli-Umm al-Ghanam,4800,"(32.69464, 35.39252)",386042,2019-12-13T00:55:21.516Z,2019-12-13T00:55:21.516Z
Shoham,20740,"(31.99866, 34.94559)",8428283,2019-12-13T00:55:22.334Z,2019-12-13T00:55:22.334Z
Sajur,3547,"(32.94266, 35.34136)",293657,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Sulam,2426,"(32.60606, 35.33408)",293449,2019-12-13T00:55:17.137Z,2019-12-13T00:55:17.137Z
Talmon,2797,"(31.93927, 35.13539)",8199392,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Tamra,25917,"(32.85301, 35.1987)",293426,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Tel Aviv,432892,"(32.08088, 34.78057)",293397,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Tel Mond,8725,"(32.24995, 34.91737)",293354,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Tiberias,39790,"(32.79221, 35.53124)",293322,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Timrat,1789,"(32.70302, 35.22359)",293310,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Tira,20786,"(32.2341, 34.95023)",295127,2019-12-13T00:55:19.525Z,2019-12-13T00:55:19.525Z
Tirat Carmel,18993,"(32.76021, 34.97183)",293308,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
umm al-Fahm,41030,"(32.51725, 35.15349)",293286,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
West Jerusalem,400000,"(31.78199, 35.21961)",7498240,2019-12-13T00:55:22.333Z,2019-12-13T00:55:22.333Z
Yavne'el,2900,"(32.70619, 35.50435)",293220,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Yavne,31774,"(31.87808, 34.73983)",293222,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Yehud,25600,"(32.03317, 34.89091)",293207,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Yehud - Monoson,29312,"(32.0284, 34.8796)",10227184,2019-12-13T00:55:22.334Z,2019-12-13T00:55:22.334Z
Yeruham,8631,"(30.98822, 34.93176)",293203,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Ma'a lot Tarshicha,21400,"(33.01667, 35.26667)",293420,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Hurfeish,5308,"(33.01711, 35.34835)",294666,2019-12-13T00:55:19.524Z,2019-12-13T00:55:19.524Z
Tzur Hadassa,4700,"(31.71912, 35.09708)",293020,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Tzur Moshe,2400,"(32.29819, 34.91313)",293014,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
Eilabun,4400,"(32.83693, 35.40029)",295291,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Ein Bokek,1400,"(31.19941, 35.36253)",295224,2019-12-13T00:55:20.640Z,2019-12-13T00:55:20.640Z
Uzeir,2591,"(32.79212, 35.32984)",293273,2019-12-13T00:55:15.913Z,2019-12-13T00:55:15.913Z
